,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
0,MSI Raider A18 HX A9WJG-091TR,MSI,Oyun,NVIDIA GeForce RTX 5090 175 W,AMD Ryzen 9 9955HX3D,64.0,False,18.0,3840,2400,120.0,233999.0,,,29521.0,,29521.0,61273.0
1,Asus ROG Strix Scar 18 G835LX-SA152W,Asus,Oyun,NVIDIA GeForce RTX 5090,Intel Core Ultra 9 275HX,64.0,False,18.0,2560,1600,240.0,264999.0,,39411.0,,,39411.0,56321.0
2,MSI Raider A18 HX A9WIG-092TR,MSI,Oyun,NVIDIA GeForce RTX 5080 175 W,AMD Ryzen 9 9955HX3D,64.0,False,18.0,3840,2400,120.0,185199.19,,,27371.0,,27371.0,61273.0
3,MSI Stealth 18 HX AI A2XWIG-021TR,MSI,Oyun,NVIDIA GeForce RTX 5080 175 W,Intel Core Ultra 9 275HX,64.0,False,18.0,3840,2400,120.0,182599.0,,,27371.0,,27371.0,56321.0
4,MSI Titan 18 HX Dragon Edition Norse Myth A2XWJG-272TR,MSI,Oyun,NVIDIA GeForce RTX 5090 175 W,Intel Core Ultra 9 285HX,96.0,False,18.0,3840,2400,120.0,353749.0,,,29521.0,,29521.0,61770.0
5,MSI Titan 18 HX AI A2XWJG-217TR,MSI,Oyun,NVIDIA GeForce RTX 5090 175 W,Intel Core Ultra 9 285HX,96.0,False,18.0,3840,2400,120.0,351359.04,,,29521.0,,29521.0,61770.0
6,MSI CreatorPro X18 HX A14VMG-484TR,MSI,İş/Mobil,NVIDIA RTX 5000 Ada Generation 175W,Intel Core i9-14900HX,128.0,False,18.0,3840,2400,120.0,330102.02,,,23599.0,,23599.0,45196.0
7,MSI Titan 18 HX AI A2XWJG-620TR,MSI,Oyun,NVIDIA GeForce RTX 5090 175 W,Intel Core Ultra 9 285HX,64.0,False,18.0,3840,2400,120.0,287299.0,,,29521.0,,29521.0,61770.0
8,MSI Raider 18 HX AI A2XWJG-215TR,MSI,Oyun,NVIDIA GeForce RTX 5090 175 W,Intel Core Ultra 9 285HX,64.0,False,18.0,3840,2400,120.0,224999.0,,,29521.0,,29521.0,61770.0
9,Asus ROG Strix SCAR 16 G635LX-RW141W,Asus,Oyun,NVIDIA GeForce RTX 5090,Intel Core Ultra 9 275HX,32.0,False,16.0,2560,1600,240.0,213752.0,,39411.0,,,39411.0,56321.0
10,MSI Raider 18 HX AI A2XWIG-218TR,MSI,Oyun,NVIDIA GeForce RTX 5080 175 W,Intel Core Ultra 9 285HX,64.0,False,18.0,3840,2400,120.0,187179.02,,,27371.0,,27371.0,61770.0
11,HP OMEN MAX Gaming 16-ah0004nt (B92QMEA),HP,Oyun,NVIDIA GeForce RTX 5090,Intel Core Ultra 9 275HX,64.0,False,16.0,2560,1600,240.0,156799.02,,39411.0,,,39411.0,56321.0
12,HP OMEN MAX Gaming 16-ah0001nt (B8SK8EA),HP,Oyun,NVIDIA GeForce RTX 5090,Intel Core Ultra 9 275HX,64.0,False,16.0,2560,1600,240.0,165259.43,,39411.0,,,39411.0,56321.0
13,Lenovo ThinkBook 16p G5 21N50024TR-58,Lenovo,İş/Mobil,NVIDIA GeForce RTX 4060,Intel Core i9-14900HX,96.0,False,16.0,3200,2000,165.0,142454.56,,19544.0,,,19544.0,45196.0
14,MSI CreatorPro X17HX A13VKS-211TR,MSI,İş/Mobil,NVIDIA RTX 3500 Ada Generation 140W,Intel Core i9-13980HX,64.0,False,17.3,3840,2160,144.0,171689.03,,,19708.0,,19708.0,46333.0
15,Monster Semruk S6 V1.1.3,Monster,Oyun,NVIDIA GeForce RTX 5080 175 W,Intel Core Ultra 9 275HX,64.0,False,16.0,2560,1600,300.0,220000.0,,,27371.0,,27371.0,56321.0
16,HP OMEN MAX Gaming 16-ah0010nt (B92QREA),HP,Oyun,NVIDIA GeForce RTX 5080,Intel Core Ultra 9 275HX,64.0,False,16.0,2560,1600,240.0,128529.65,,36430.0,,,36430.0,56321.0
17,MSI Stealth 18 HX AI A2XWHG-024TR,MSI,Oyun,NVIDIA GeForce RTX 5070 Ti 140W,Intel Core Ultra 9 275HX,32.0,False,18.0,2560,1600,240.0,156999.0,,,21966.5,,21966.5,56321.0
18,Lenovo ThinkBook 16p G5 21N50024TRA36,Lenovo,İş/Mobil,NVIDIA GeForce RTX 4060,Intel Core i9-14900HX,64.0,False,16.0,3200,2000,165.0,104879.04,,19544.0,,,19544.0,45196.0
19,Lenovo ThinkBook 16p G5 21N50024TRA33,Lenovo,İş/Mobil,NVIDIA GeForce RTX 4060,Intel Core i9-14900HX,64.0,False,16.0,3200,2000,165.0,104879.04,,19544.0,,,19544.0,45196.0
20,Casper Excalibur G920.1490-EN90H-E,Casper,Oyun,NVIDIA GeForce RTX 5090 175 W,Intel Core i9-14900HX,64.0,False,16.0,2560,1600,300.0,178188.03,,,29521.0,,29521.0,45196.0
21,Asus ROG Strix SCAR 16 G635LW-RW138,Asus,Oyun,NVIDIA GeForce RTX 5080,Intel Core Ultra 9 275HX,32.0,False,16.0,2560,1600,240.0,162999.48,,36430.0,,,36430.0,56321.0
22,Lenovo ThinkPad P16 G2 TP21FA000UTX21,Lenovo,İş/Mobil,NVIDIA RTX A4000,Intel Core i7-13850HX,64.0,False,16.0,2560,1600,165.0,194299.98,,19462.0,,,19462.0,36621.0
23,HP OMEN MAX Gaming 16-ah0012nt (B8SQ7EA),HP,Oyun,NVIDIA GeForce RTX 5080,Intel Core Ultra 9 275HX,64.0,False,16.0,1920,1200,165.0,132599.0,,36430.0,,,36430.0,56321.0
24,Lenovo ThinkPad P16 G2 TP21FA000UTX12,Lenovo,İş/Mobil,NVIDIA RTX A4000,Intel Core i7-13850HX,128.0,False,16.0,2560,1600,165.0,205307.89,,19462.0,,,19462.0,36621.0
25,Asus ROG Strix SCAR 16 G635LX-RW145,Asus,Oyun,NVIDIA GeForce RTX 5090,Intel Core Ultra 9 275HX,32.0,False,16.0,2560,1600,240.0,191736.02,,39411.0,,,39411.0,56321.0
26,Lenovo ThinkBook 16p G5 21N50024TR-28,Lenovo,İş/Mobil,NVIDIA GeForce RTX 4060,Intel Core i9-14900HX,96.0,False,16.0,3200,2000,165.0,138939.04,,19544.0,,,19544.0,45196.0
27,Lenovo Legion 9 83AG000NTR,Lenovo,Oyun,NVIDIA GeForce RTX 4090 175W,Intel Core i9-13980HX,64.0,False,16.0,3200,2000,165.0,189999.01,,,27214.0,,27214.0,46333.0
